family,depth,width,residual,learning_rate,activation,gamma_scale,val_loss,val_accuracy,val_f1,best_epoch,epochs_run,status,seconds
mixed,5,26,True,0.01,tanh,2.0,0.006917746484840648,1.0,1.0,239,250,ok,0.4967331250000022
mixed,7,13,False,0.003,tanh,0.5,0.013870561525457997,1.0,1.0,250,250,ok,0.3894099159999982
mixed,7,13,False,0.003,tanh,2.0,0.016900486625070734,1.0,1.0,244,250,ok,0.38533412499999997
mixed,7,13,False,0.01,tanh,0.5,0.022458271879454116,1.0,1.0,81,121,ok,0.18729508399999872
mixed,7,13,False,0.01,tanh,2.0,0.03158400811968597,1.0,1.0,48,88,ok,0.16836675000000412
mixed,7,26,False,0.003,tanh,0.5,0.003923527021562879,1.0,1.0,250,250,ok,0.6999737499999981
mixed,7,26,False,0.003,tanh,2.0,0.0019210156774000832,1.0,1.0,250,250,ok,0.6205773340000036
mixed,7,26,False,0.01,tanh,0.5,1.0899690000634086,0.39285714285714285,0.18803418803418803,8,48,ok,0.12023166699999877
mixed,7,26,False,0.01,tanh,2.0,0.0008067847594012588,1.0,1.0,250,250,ok,0.6136969590000021
mixed,7,13,True,0.003,tanh,0.5,0.011128504138805678,1.0,1.0,250,250,ok,0.40208687500000195
mixed,7,13,True,0.003,tanh,2.0,0.010935240765827034,1.0,1.0,250,250,ok,0.398810417
mixed,7,13,True,0.01,tanh,0.5,0.0037796710809296116,1.0,1.0,250,250,ok,0.39494591700000115
mixed,7,13,True,0.01,tanh,2.0,0.005196751464623133,1.0,1.0,250,250,ok,0.40537858300000096
mixed,7,26,True,0.003,tanh,0.5,0.008468642876406429,1.0,1.0,239,250,ok,0.6593786250000022
mixed,7,26,True,0.003,tanh,2.0,0.005590696026837422,1.0,1.0,241,250,ok,0.6279973749999996
mixed,7,26,True,0.01,tanh,0.5,0.013176435771565095,1.0,1.0,56,96,ok,0.2428939169999964
mixed,7,26,True,0.01,tanh,2.0,0.002695631338657187,1.0,1.0,250,250,ok,0.6198575829999982
